    168,  -4.71600866,   3.97082186
    169,  -3.52915525,   3.94118738
    170,   8.38767624,   -3.9067781
    171,   7.11085033,   -3.9265511
    172,   5.89190865,  -3.96969533
    173,   4.71057367,  -3.97329402
    174,   3.52194023,  -3.94078612
    175,  0.446694195,  -3.16749859
    176,   3.26794696,  -0.61198014
    177,   1.54784274,  -2.69021654
    178,   2.46466303,  -1.58525562
    179,  -8.91449261,  -1.90591621
    180,  -8.91823483, -0.646432936
    181,  -8.91796398,  0.635711372
    182,  -8.92868042,   1.89368343
    183,   8.91161156,   1.90700805
    184,   8.92071629,  0.646179616
    185,   8.92220306, -0.642828941
    186,   8.92742634,  -1.90896726
    187,   -3.3719492,  0.656488121
    188,   -2.4989109,   1.59790671
    189,  -1.53182924,    2.6994071
    190,   4.91866446,   3.04081392
    191,  -5.51266575,  -3.08070564
    192,   1.88397717,   4.20098591
    193,  -2.17504597,  -4.24036121
    194,     6.322258,   2.95414639
    195,  -6.51588345,  -2.92834258
    196,  -6.50104332,   2.89098525
    197,   6.50847673,  -2.90863681
    198,  -4.17097473,   2.90257692
    199,   4.16038704,  -2.89439511
    200,   2.94436431,  -2.79741216
    201,  -2.95432401,   2.81161785
    202,    5.3442235,   -2.9273541
    203,  -5.34083176,   2.92144704
    204,   3.67666554,  -1.76356041
    205,  -9.01552105,  -2.95476079
    206,   9.00786781,   2.95816827
    207,   9.02458954,  -2.95832133
    208,  -7.84452438,  -1.33274102
    209,  -7.80501318, -0.0101634255
    210,   7.83200359,   1.28804231
    211,   7.85027218, -0.0484819487
    212,  -7.83674335,   1.31486225
    213,   7.86619806,  -1.35384107
    214, -0.358274609,   3.19779253
    215,  -3.69228387,   1.81301117
    216,   7.74544144,   2.68532157
    217,  -7.81848717,  -2.69615507
    218,  -7.81569862,   2.68342066
    219,   7.82734203,  -2.70229554
    220,   4.38485956, -0.770299137
    221,   6.70873022,   1.78082967
    222,  -6.92906809,  -1.93779802
    223,  -5.92917252,   1.87751937
    224,   5.97773457,  -1.90972328
