      1,          -5.,          -5.
      2,          15.,          -5.
      3,          15.,           5.
      4,          -5.,           5.
      5,   4.16750002,  -3.60750008
      6,          2.5,           0.
      7,  -3.66666675,          -5.
      8,  -2.33333325,          -5.
      9,          -1.,          -5.
     10,  0.333333343,          -5.
     11,   1.66666663,          -5.
     12,           3.,          -5.
     13,   4.33333349,          -5.
     14,   5.66666651,          -5.
     15,           7.,          -5.
     16,   8.33333302,          -5.
     17,   9.66666698,          -5.
     18,          11.,          -5.
     19,    12.333333,          -5.
     20,    13.666667,          -5.
     21,          15.,          -4.
     22,          15.,          -3.
     23,          15.,          -2.
     24,          15.,          -1.
     25,          15.,           0.
     26,          15.,           1.
     27,          15.,           2.
     28,          15.,           3.
     29,          15.,           4.
     30,    13.666667,           5.
     31,    12.333333,           5.
     32,          11.,           5.
     33,   9.66666698,           5.
     34,   8.33333302,           5.
     35,           7.,           5.
     36,   5.66666651,           5.
     37,   4.33333349,           5.
     38,           3.,           5.
     39,   1.66666663,           5.
     40,  0.333333343,           5.
     41,          -1.,           5.
     42,  -2.33333325,           5.
     43,  -3.66666675,           5.
     44,          -5.,           4.
     45,          -5.,           3.
     46,          -5.,           2.
     47,          -5.,           1.
     48,          -5.,           0.
     49,          -5.,          -1.
     50,          -5.,          -2.
     51,          -5.,          -3.
     52,          -5.,          -4.
     53,   4.58415031,  -3.67888331
     54,   5.00622225,  -3.70230651
     55,   5.42821264,  -3.67746472
     56,    5.8446207,  -3.60468149
     57,   6.25001812,  -3.48490548
     58,   6.63911963,  -3.31969881
     59,   7.00685263,   -3.1112144
     60,     7.348423,  -2.86217093
     61,   7.65937805,  -2.57581449
     62,   7.93566465,  -2.25587821
     63,   8.17367935,  -1.90653336
     64,   8.37032127,  -1.53233385
     65,   8.52302551,  -1.13815796
     66,   8.62980175, -0.729144573
     67,   8.68925762, -0.310625583
     68,   8.70061874,  0.111942887
     69,    8.6637373,  0.533051968
     70,   8.57909203,  0.947211981
     71,   8.44778919,   1.34902358
     72,   8.27153778,   1.73324859
     73,   8.05263805,   2.09487796
     74,   7.79394197,   2.42919755
     75,   7.49882269,   2.73184872
     76,   7.17112732,   2.99888611
     77,   6.81512833,   3.22682858
     78,   6.43546581,   3.41270423
     79,    6.0370903,   3.55409002
     80,   5.62519455,   3.64914298
     81,   5.20514822,    3.6966238
     82,   4.78242779,   3.69591331
     83,   4.36254358,   3.64702106
     84,    3.9509697,   3.55058408
     85,   3.55307126,   3.40786004
     86,   3.17403603,   3.22070932
     87,   2.81880498,   2.99157166
     88,   2.49200916,   2.72343421
     89,   2.19790864,   2.41979289
     90,    1.9403379,   2.08460569
     91,   1.72265446,   1.72224236
     92,   1.54769623,   1.33742714
     93,   1.41774404,  0.935176432
     94,   1.33449209,   0.52073431
     95,   1.29902565, 0.0995036215
     96,   1.31180692, -0.323024243
     97,   1.37266958, -0.741340995
     98,   1.48081994,   -1.1499933
     99,   1.63484824,  -1.54365361
    100,   1.83274651,  -1.91719007
    101,    2.0719347,    -2.265733
    102,   2.34929466,  -2.58473873
    103,   2.66121078,  -2.87004828
    104,   3.00361633,  -3.11794233
    105,    3.3720479,  -3.32518935
    106,   3.76170254,  -3.48908758
    107,   2.50342607, -0.130839884
    108,   2.51369524, -0.261321157
    109,   2.53077912, -0.391086161
    110,   2.55463099, -0.519779205
    111,   2.58518553, -0.647047639
    112,    2.6223588, -0.772542477
    113,     2.666049, -0.895919859
    114,   2.71613646,  -1.01684165
    115,   2.77248359,  -1.13497627
    116,   2.83493638,        -1.25
    117,   2.90332365,  -1.36159754
    118,   2.97745752,  -1.46946311
    119,   3.05713511,  -1.57330096
    120,     3.142138,  -1.67282653
    121,   3.23223305,  -1.76776695
    122,   3.32717347,  -1.85786211
    123,   3.42669892,  -1.94286489
    124,   3.53053689,  -2.02254248
    125,   3.63840246,  -2.09667635
    126,         3.75,  -2.16506362
    127,   3.86502385,  -2.22751641
    128,   3.98315835,  -2.28386354
    129,    4.1040802,    -2.333951
    130,   4.22745752,   -2.3776412
    131,   4.35295248,  -2.41481447
    132,   4.48022079,  -2.44536901
    133,    4.6089139,  -2.46922088
    134,   4.73867893,  -2.48630476
    135,   4.86916018,  -2.49657393
    136,           5.,         -2.5
    137,   5.13083982,  -2.49657393
    138,   5.26132107,  -2.48630476
